"","Year","Month","Stock_lag_MV","Stock_Ew_Ret","Stock_Vw_Ret"
"272",1948,8,60658588.1875,-0.00228443630573249,0.00332498504092697
"273",1948,9,60494693.0625,-0.0425765737009544,-0.0293075255585832
"274",1948,10,58445605.875,0.0531049343220339,0.0600121557117328
"275",1948,11,61786084.25,-0.106402942857143,-0.0926241858419157
"276",1948,12,55456182.8125,0.0130290137420719,0.0330175413149283
"277",1949,1,57108092,0.0181912101372756,0.00326431182784438
"278",1949,2,57286909.875,-0.0411667642105263,-0.0283677982955199
"279",1949,3,55403732.625,0.059256320754717,0.0413318429962089
"280",1949,4,57399738,-0.0315534728033473,-0.0177266768171758
"281",1949,5,56330133.625,-0.043211669447341,-0.0285192284485094
"282",1949,6,54424730.1875,-0.00806037291666667,0.00190727747081172
"283",1949,7,54166153.0625,0.062399765625,0.0562099533398214
"284",1949,8,57260711.1875,0.0254789116424116,0.0269607153743514
"285",1949,9,58400595.6875,0.043433917184265,0.0318177223406238
"286",1949,10,60300326.375,0.0393046305469556,0.0323156042877678
"287",1949,11,62114686.6875,0.00984698249227601,0.0191100461020628
"288",1949,12,62566243.625,0.070640956358621,0.0521025708338788
"289",1950,1,65976752.0625,0.0400065196280992,0.0179667921568117
"290",1950,2,67231586.75,0.0165454541709578,0.0156437181118814
"291",1950,3,67878406.5,-0.0017283501026694,0.0135947642852256
"292",1950,4,68780087.6875,0.0473579415983607,0.0402731791017871
"293",1950,5,71446432.5625,0.0335106741803279,0.0441046501354086
"294",1950,6,74213025.3125,-0.075712121801433,-0.0583630554290139
"295",1950,7,69538311.875,0.0506105342185904,0.0146091744296667
"296",1950,8,70559750.75,0.051635607106599,0.0495188946586176
"297",1950,9,73399047.9375,0.0545826467611336,0.0490586080187295
"298",1950,10,76777488.0625,-0.00507012108980827,-0.000618254475711962
"299",1950,11,76713828.25,0.0319589979859013,0.028630278142211
"300",1950,12,77632850.3125,0.0844317854208517,0.0565112262935894
"301",1951,1,82757178.8125,0.0757961280241935,0.0582403367228804
"302",1951,2,87583055.5,0.011763861167002,0.0151458793848243
"303",1951,3,88508800.3125,-0.0337445953815261,-0.0204514020338619
"304",1951,4,86701830.75,0.0403154304304304,0.0499456296548264
"305",1951,5,91010897.5625,-0.0248967954091816,-0.0221899221648677
"306",1951,6,88431762.125,-0.0451973874501992,-0.0250565067628681
"307",1951,7,86285949.5625,0.0629930338661471,0.0707897119005966
"308",1951,8,92293274.75,0.0469605061886348,0.0440443887189589
"309",1951,9,95583029.5,0.0228797701492537,0.00821431836480057
"310",1951,10,96015959.6875,-0.0241051441307197,-0.0237348269835459
"311",1951,11,93575391.875,0.00740897011952191,0.00673951990373911
"312",1951,12,93511341.25,0.0151221476709613,0.0345231952491431
"313",1952,1,98118452.1875,0.0171459109792285,0.0160362059363738
"314",1952,2,99667719.95401,-0.0206136814595661,-0.0251029579473955
"315",1952,3,96483058.03125,0.0284047759131293,0.0454546068620279
"316",1952,4,100749228.25,-0.0449545863770977,-0.0485136541241167
"317",1952,5,95754728.125,0.0246222226600985,0.0332585876397963
"318",1952,6,98321991,0.0307647938856016,0.0397778044209376
"319",1952,7,101947426.875,0.010307281496063,0.0105822374491943
"320",1952,8,102946461.125,0.000479903732809428,-0.00616351883413935
"321",1952,9,101537668.9375,-0.0150112622789784,-0.0187127009994511
"322",1952,10,99489540,-0.0116601088817483,-0.00523637613636824
"323",1952,11,98712928.875,0.0558129987804878,0.0604428652116917
"324",1952,12,103778592.125,0.0227107082926829,0.0309154821726522
"325",1953,1,108491639.3125,0.0247122009120478,-0.00177505309024359
"326",1953,2,108240862.375,0.0123206871498341,-0.00134010402288124
"327",1953,3,107380015.8125,-0.0102992668621701,-0.0124399249422512
"328",1953,4,105594365.5,-0.0234458086454439,-0.026646702448759
"329",1953,5,102833268.25,0.00594577962781586,0.00691818148548378
"330",1953,6,103004802.25,-0.0318407365853659,-0.017065893671009
"331",1953,7,100893660.625,0.0174988467045224,0.0254477092178618
"332",1953,8,103312428,-0.0516258556097561,-0.0434814932429923
"333",1953,9,98069263.3125,-0.0108415675146771,0.00366803454868857
"334",1953,10,98031600.0625,0.0375439843597263,0.0472077334788431
"335",1953,11,102410635.1875,0.0214628884540117,0.0290131873358773
"336",1953,12,104570788.5625,-0.0149830886939571,0.00154367255392702
"337",1954,1,106091582.625,0.0713252604878049,0.0524124227460789
"338",1954,2,111557944.5,0.0135712962962963,0.0173916058786996
"339",1954,3,112701868.5625,0.0284568107317073,0.0373219344096079
"340",1954,4,116449926.375,0.0163565978476943,0.0436290908587004
"341",1954,5,121567377.125,0.0429659033203125,0.031409287422831
"342",1954,6,124572562.375,0.0125311647173489,0.011328289951604
"343",1954,7,125588052,0.0719427212475634,0.0504386648608644
"344",1954,8,131807328.75,-0.00926063972736125,-0.0228808721809394
"345",1954,9,127822892.5625,0.0440509330082928,0.0647893041222583
"346",1954,10,135768626.625,-0.00703750438169426,-0.0160312933467663
"347",1954,11,133357972.1875,0.091363746835443,0.0944157033026107
"348",1954,12,144628012.375,0.088102201754386,0.0556288829078948
"349",1955,1,156481580.3125,0.0142672647914646,0.00681657299634685
"350",1955,2,157341423.3125,0.0426311140373983,0.0310039140562975
"351",1955,3,161717775.6875,0.000873133820365047,-0.000568933106004531
"352",1955,4,161052598.4375,0.0232596533980583,0.0321272902979672
"353",1955,5,166156992.375,0.00679938326848249,0.0107035244652582
"354",1955,6,166818753.8125,0.0343899578474447,0.066491988717944
"355",1955,7,177740157.9375,0.00798812132362815,0.01990835073948
